subid,attribution_technical,attribution_survey,convert_TF,Tier,revenue,,
20022048,search,other,TRUE,6,18.0931,,
20022087,facebook,facebook,FALSE,6,#REF!,,
20022151,facebook,facebook,FALSE,7,#REF!,,
20022227,facebook,facebook,FALSE,1,#REF!,,
20022242,search,ott,TRUE,8,18.0931,,
20022293,facebook,facebook,FALSE,2,#REF!,,
20022423,facebook,facebook,TRUE,8,18.1665,,
20022480,facebook,referral,TRUE,7,36.1495,,
20022591,facebook,facebook,TRUE,1,18.0931,,
20022719,facebook,facebook,TRUE,7,#REF!,,
20022760,search,other,FALSE,1,#REF!,,
20022998,facebook,facebook,FALSE,7,#REF!,,
20023070,facebook,facebook,FALSE,5,#REF!,,
20023145,facebook,facebook,TRUE,7,#REF!,,
20023159,facebook,facebook,FALSE,4,#REF!,,
20023251,facebook,facebook,FALSE,6,#REF!,,
20023314,facebook,youtube,TRUE,5,18.1665,,
20023464,search,facebook,FALSE,1,#REF!,,
20023497,facebook,facebook,FALSE,1,#REF!,,
20023520,search,tv,FALSE,2,#REF!,,
20023967,facebook,facebook,TRUE,3,18.0931,,
20023997,facebook,facebook,FALSE,8,#REF!,,
20024020,facebook,facebook,FALSE,1,#REF!,,
20024096,facebook,facebook,FALSE,2,#REF!,,
20024103,facebook,facebook,FALSE,5,#REF!,,
20024116,search,other,TRUE,6,18.0931,,
20024156,facebook,facebook,FALSE,4,#REF!,,
20024166,facebook,facebook,FALSE,2,#REF!,,
20024274,facebook,facebook,TRUE,5,18.0931,,
20024369,facebook,facebook,FALSE,1,#REF!,,
20024463,facebook,facebook,TRUE,2,36.1495,,
20024473,facebook,tv,TRUE,8,#REF!,,
20024495,facebook,facebook,TRUE,7,36.1495,,
20024669,search,facebook,TRUE,5,#REF!,,
20024735,search,tv,TRUE,4,#REF!,,
20024873,search,search,TRUE,6,18.0931,,
20025093,facebook,facebook,FALSE,1,#REF!,,
20025110,search,referral,TRUE,6,#REF!,,
20025156,facebook,facebook,TRUE,8,18.0931,,
20025158,search,other,TRUE,6,18.0931,,
20025231,facebook,facebook,TRUE,6,18.0931,,
20025778,facebook,facebook,TRUE,8,18.0931,,
20025953,facebook,facebook,FALSE,4,#REF!,,
20026003,facebook,facebook,TRUE,7,36.1495,44749,
20026092,facebook,facebook,TRUE,8,36.1495,,
20026447,facebook,facebook,FALSE,5,#REF!,,
20026473,facebook,facebook,TRUE,4,18.0931,,
20026490,search,facebook,TRUE,3,36.1495,,
20026546,youtube,youtube,TRUE,7,18.717,,
20026576,facebook,facebook,TRUE,3,18.3867,,
20026860,facebook,facebook,TRUE,8,36.1495,,
20026861,facebook,facebook,TRUE,6,#REF!,,
20027096,facebook,facebook,FALSE,4,#REF!,,
20027110,facebook,facebook,TRUE,8,#REF!,,
20027222,facebook,facebook,FALSE,8,#REF!,,
20027367,facebook,facebook,FALSE,4,#REF!,,
20027462,search,other,TRUE,1,18.0931,,
20027469,facebook,facebook,FALSE,1,#REF!,,
20027538,facebook,facebook,TRUE,3,#REF!,,
20027568,facebook,facebook,TRUE,6,18.717,,
20027595,facebook,facebook,TRUE,4,36.1495,,
20027691,facebook,facebook,FALSE,8,#REF!,,
20027718,search,referral,TRUE,7,18.3867,,
20027820,facebook,public_radio,FALSE,8,#REF!,,
20027950,search,facebook,FALSE,7,#REF!,,
20028503,facebook,tv,TRUE,5,18.717,,
20028519,facebook,facebook,FALSE,6,#REF!,,
20028638,search,social_organic,TRUE,4,36.1495,,
20028953,search,facebook,TRUE,2,#REF!,,
20029269,facebook,facebook,FALSE,7,#REF!,,
20029300,facebook,facebook,TRUE,2,36.1495,,
20029366,search,referral,TRUE,4,36.1495,,
20029727,facebook,facebook,FALSE,6,#REF!,,
20029738,facebook,facebook,TRUE,3,18.0931,,
20029793,search,facebook,TRUE,6,18.0931,,
20029969,facebook,facebook,FALSE,1,#REF!,,
20030040,facebook,facebook,TRUE,3,18.0931,,
20030079,facebook,facebook,FALSE,4,#REF!,,
20030136,facebook,facebook,TRUE,4,#REF!,,
20030246,facebook,facebook,FALSE,4,#REF!,,
20030364,display,search,TRUE,7,18.1665,,
20030432,facebook,facebook,TRUE,7,18.0931,,
20030550,facebook,facebook,TRUE,7,36.1495,,
20030645,facebook,facebook,TRUE,5,18.3867,,
20030846,facebook,facebook,TRUE,2,#REF!,,
20030862,search,facebook,TRUE,8,18.0931,,
20031242,facebook,facebook,TRUE,5,18.3867,,
20031244,search,tv,TRUE,6,#REF!,,
20031385,search,search,TRUE,3,36.1495,,
20031443,facebook,facebook,FALSE,4,#REF!,,
20031460,facebook,facebook,TRUE,6,18.3867,,
20031608,facebook,facebook,FALSE,6,#REF!,,
20032026,facebook,facebook,FALSE,1,#REF!,,
20032027,facebook,facebook,TRUE,8,#REF!,,
20032103,facebook,facebook,TRUE,8,18.0931,,
20032215,facebook,referral,TRUE,6,18.717,,
20032285,facebook,facebook,TRUE,7,36.1495,,
20032439,facebook,facebook,FALSE,4,#REF!,,
20032466,search,facebook,FALSE,8,#REF!,,
20032481,facebook,social_organic,TRUE,7,#REF!,,
20032859,facebook,facebook,TRUE,6,#REF!,,
20032867,facebook,facebook,TRUE,7,#REF!,,
20032897,bing,pinterest,TRUE,3,36.1495,,
20032956,facebook,facebook,TRUE,4,#REF!,,
20033073,search,facebook,FALSE,7,#REF!,,
20033128,facebook,facebook,TRUE,5,18.1665,,
20033185,facebook,facebook,FALSE,4,#REF!,,
20033260,facebook,facebook_organic,FALSE,3,#REF!,,
20033348,facebook,facebook,FALSE,1,#REF!,,
20033352,facebook,tv,FALSE,7,#REF!,,
20033364,facebook,facebook,FALSE,5,#REF!,,
20033398,facebook,facebook,TRUE,7,36.1495,,
20033493,facebook,facebook,TRUE,3,#REF!,,
20033524,facebook,facebook,TRUE,7,#REF!,,
20033588,search,tv,FALSE,7,#REF!,,
20033744,facebook,facebook,TRUE,7,36.1495,,
20033769,facebook,facebook,FALSE,4,#REF!,,
20033820,facebook,facebook,FALSE,5,#REF!,,
20033829,facebook,facebook,TRUE,8,#REF!,,
20033896,facebook,tv,FALSE,7,#REF!,,
20033962,facebook,facebook,TRUE,8,#REF!,,
20034046,facebook,facebook,TRUE,6,18.3867,,
20034071,search,search,TRUE,4,36.1495,,
20034168,search,facebook,FALSE,4,#REF!,,
